Código,Descripción,Precio ₡,Precio $ (ref),% IVA,publicar,nota
IGF-BP3,IGF-BP3 (Proteína 3 de unión al factor de crecimiento parecido a la insulina),34000,0,4,SI,
IA,INDICE ANDROGENICO,22500,40.06,4,SI,
HOMA,INDICE DE HOMA,25000,0,4,SI,
IGA,INMUNOGLOBINA A,16000,0,4,SI,
IGE,INMUNOGLOBULINA E,16000,0,4,SI,
IGG,INMUNOGLOBULINA G,16000,0,4,SI,
IGM,INMUNOGLOBULINA M,16000,0,4,SI,
708,INSULINA,16500,26,4,SI,
709,INSULINA POST CARGA,16500,26,4,SI,
IGE ALER,IgE ALERGENOS,10000,0,4,SI,
LH,LH,16500,26,4,SI,
li,LITIO,16000,20.8,4,SI,
Lepto,Leptospirosis IgG/IgM,25000,0,4,SI,
Lipa,Lipasa,11500,0,4,SI,
63,MAGNESIO (SUERO),10000,15.39,4,SI,
MAR CUAL,MARIHUANA CUALITATIVA,10000,0,4,SI,
MAR CUANT,MARIHUANA CUANTITATIVA,18000,0,4,SI,
MICRO,MICROALBUMINURIA,15000,0,4,SI,
MT,MONOTEST,15000,0,4,SI,
Micro/Creat,Microalbuminuria/creatinuria,19240,36.86,4,SI,
MTHFR,Mutación MTHFR,105300,0,4,SI,
363,NITROGENO UREICO,7000,8.53,4,SI,
407,NT-PROBNP,35000,55.43,4,SI,
Nico,Nicotina,21000,43.68,4,SI,
Niño,Niño sano,22000,41.65,4,SI,
SED,ORINA Y SEDIMENTO TEÑIDO,13000,0,4,SI,
OXALATO,OXALATO EN ORINA DE 24H,75000,0,4,SI,
Omeg,Omega 3 y 6,115000,228.8,4,SI,
PMC14,PANEL METABOLICO COMPLETO (14),120000,187.2,4,SI,
pb,PAQUETE BASICO PROMOCION,34320,57.2,4,SI,
pc,PAQUETE COMPLETO,37450,0,4,SI,
papa,PAQUETE DIA DEL PADRE,41600,83.2,4,SI,
DIAB SEG,"PAQUETE DIABETES SEGUIMIENTO (Glucosa, Hemoglobina glicosilada, Perfil de lipidos, Perfil renal, Microalbuminuria)",70000,0,4,SI,
dr6,PAQUETE DROGAS,25000,31.2,4,SI,
policia,PAQUETE FUERZA PUBLICA,86000,0,4,SI,
